Serial,OPEID,InstitutionName,Address,City,ST,Zip,BwrsWhoEnteredRepayment Status,BwrsInDefault,CohortDefaultRate,TotalBwrsInDefault,TotalPrincipalOutstandingOnLoansInDefault
003821,00345800,Augustana College,2001 South Summit Avenue,Sioux Falls,SD,57197-0001,229,15,6.55%,127,456160                                                                                                                                              
003823,00345900,Black Hills State University,1200 University Avenue,Spearfish,SD,57799-9502,155,36,23.23%,116,208311                                                                                                                                      
003824,00346300,Dakota State University,820 North Washington,Madison,SD,57042-1799,124,14,11.29%,106,139173                                                                                                                                               
003825,00346100,Dakota Wesleyan University,1200 West University Avenue,Mitchell,SD,57301-4398,83,26,31.33%,317,468684                                                                                                                                     
003828,00530900,Lake Area Technical Institute,1201 Arrow Avenue,Watertown,SD,57201-0730,45,9,20%,109,188540                                                                                                                                               
003829,00828400,Mitchell Technical Institute,1800 East Spruce Street,Mitchell,SD,57301-9931,61,10,16.39%,30,72282                                                                                                                                         
003830,00346500,Mount Marty College,1105 West 8th Street,Yankton,SD,57078-3724,66,10,15.15%,70,96834                                                                                                                                                      
003831,00405700,National American University,5301 S. Highway 16,Rapid City,SD,57701-3692,169,22,13.02%,254,358444                                                                                                                                         
003833,00346600,Northern State University,1200 South Jay Street,Aberdeen,SD,57401-7198,161,13,8.07%,94,293227                                                                                                                                             
003835,00346700,Presentation College,1500 North Main Street,Aberdeen,SD,57401-1299,57,6,10.53%,160,246785                                                                                                                                                 
003839,00347000,South Dakota School of Mines & Technology,501 East Saint Joseph Street,Rapid City,SD,57701-3995,84,13,15.48%,88,156094                                                                                                                    
003840,00347100,South Dakota State University,222 Administration Lane,Brookings,SD,57007-2298,464,19,4.09%,151,352121                                                                                                                                     
003837,00346900,University of Sioux Falls,1101 West 22nd Street,Sioux Falls,SD,57105-1699,50,7,14%,251,348450                                                                                                                                             
003845,00347400,University of South Dakota,414 East Clark Street,Vermillion,SD,57069-2390,796,98,12.31%,912,1114867                                                                                                                                       
003852,00347800,Austin Peay State University,601 College Street,Clarksville,TN,37044-0002,95,22,23.16%,178,423482                                                                                                                                         
003854,00347900,Belmont University,1900 Belmont Boulevard,Nashville,TN,37212-3757,56,3,5.36%,136,167118                                                                                                                                                   
003855,00348000,Bethel University,325 Cherry Avenue,McKenzie,TN,38201-1705,45,9,20%,88,147256                                                                                                                                                             
